article_title,article_paragraph
Armenian Air Force to be re-equipped with SU-30SM fighter jets within few months,"YEREVAN, NOVEMBER 4, ARMENPRESS. The Armenian Air Force will be re-equipped with Russian SU-30SM fighter jets in a few months, Defense Minister Davit Tonoyan revealed. He said the aircraft will be delivered to Armenia either yearend 2019 or in the first two months of 2020.“The aircraft will arrive either in December or January-February,” he said, adding that this was the initially planned timeframe.Earlier unconfirmed reports suggested that Armenia will buy 4 units of the jets, but Tonoyan did not specify the number.The Sukhoi Su-30 is a Russian-made twin-engine, two-seat supermaneuverable fighter aircraft. It is a multirole fighter for all-weather, air-to-air and air-to-surface deep interdiction missions.The Su-30SM (SM for Serial, Modernized) is considered a 4+ generation fighter jet. The aircraft has been upgraded for radar, radio communications systems, friend-or-foe identification system, ejection seats, weapons, and other aircraft systems.It has frontal horizontal fins and steerable thrusters for supermaneuverability.The aircraft can be used to gain air supremacy same as for targeting adversary on the ground using wide range of weapons including air-to-air, air-to-surface and guided and unguided bombs with total weapons weight up to 8000 kg.Edited and translated by Stepan Kocharyan"
Armenian military acquires new modern arms,"YEREVAN, NOVEMBER 4, ARMENPRESS. The Armenian military will buy new, modern arms from different countries in both during the current year and in 2020, Defense Minister David Tonoyan told reporters.“Today the Armenian Armed Forces are acquiring mostly new modernized weaponry. In both 2019 and 2020 we will acquire solely new and modern capacities from various countries both contractually and through credit programs,” he said.Speaking on budget allocations, Tonoyan said as Defense Minister he would’ve wanted to double and triple the budget. But given the state budget’s opportunities and the economic opportunities he said he considers the budget “sufficient” to properly respond to all challenges.Edited and translated by Stepan Kocharyan"
Armenian army holds battalion-sized live fire exercises,"YEREVAN, NOVEMBER 1, ARMENPRESS. A military base of the 4th Army Corps held a battalion-sized live fire military exercise October 29-31, the Armenian defense ministry said.Major General A. Makaryan, the head of the Combat Readiness Department of the Armenian Armed Forces and Deputy Chief of the General Staff, observed the drills.By the scenario the battalion launched an offensive in mountainous terrain, captured elevated positions, improved its vanguard positions and took defensive positions until backup troops would arrive.Colonel A. Budaghyan, Chief of Staff of the Army Corps, thanked the troops and encouraged distinguished soldiers at the end of the drills.Edited and translated by Stepan Kocharyan"
Tank battalion in Artsakh holds LFX drills,"STEPANAKERT, OCTOBER 31, ARMENPRESS. A tank division of the Artsakh military in the northern direction has held life fire strategic battalion exercises on October 31.The Artsakh Ministry of Defense said similar exercises are held routinely.“Existing and potential regional developments force to constantly perfect achievements, develop new methods for a more effective engagement of both defensive and offensive combat operations,” the Artsakh military said in a statement.The defense ministry said the drills passed successfully and praised the high level of strategic-professional readiness and morale of the troops.Edited and translated by Stepan Kocharyan"
Armenian artillery units hold LFX battalion drills,"YEREVAN, OCTOBER 31, ARMENPRESS. The artillery units under the 3rd Army Corps of the Armenian Armed Forces held live fire battalion military exercises.The Ministry of Defense said in a news release that the units successfully completed the mission under the scenario and destroyed the simulated enemy positions.Edited and translated by Stepan Kocharyan"
New military training school to be built in Armenia,"YEREVAN, OCTOBER 29, ARMENPRESS. Armenian defense minister Davit Tonoyan and defense minister of Russia, General of the Army Sergei Shoigu on October 29 attended the groundbreaking ceremony of a new military training school in Yerevan, the Armenian defense ministry told Armenpress.A new complex will soon be built in Armenia equipped with the latest technologies and all infrastructures necessary for organizing the study process.The construction of the school will be carried out by the technical support of the Russian defense ministry.Edited and translated by Aneta Harutyunyan"
Chief of General Staff of Armenian Armed Forces visits Central Military Hospital,"YEREVAN, OCTOBER 28, ARMENPRESS. Chief of General Staff of the Armenian Armed Forces, Lieutenant-General Artak Davtyan on October 27 visited the Central Military Hospital, the defense ministry told Armenpress.Artak Davtyan talked to the soldiers undergoing treatment in the hospital, as well as asked the medical staff about the health condition and treatment process of Lieutenant-Colonel Ara Mkhitaryan.Artak Davtyan also got acquainted with the ongoing construction and renovations works in the hospital.Edited and translated by Aneta Harutyunyan"
Armenian defense minister travels to Brussels on working visit,"YEREVAN, OCTOBER 24, ARMENPRESS. Armenian defense minister Davit Tonoyan today departed for Brussels to attend the ministerial meeting of countries providing troops to the NATO’s Resolute Support Mission, the ministry told Armenpress.The defense minister already met with NATO Deputy Secretary General Mircea Geoană.The sides discussed the Armenia-NATO cooperation. Both highlighted Armenia’s participation to the missions in Kosovo and Afghanistan.The defense minister introduced Armenia’s ongoing humanitarian mission in Syria, its goals and opportunities to expand the geography.At the meeting issues relating to the regional security in the South Caucasus and the Middle East were discussed.Edited and translated by Aneta Harutyunyan"
"Armenian, Jordanian top brass hold meeting","YEREVAN, OCTOBER 24, ARMENPRESS. Chief of the General Staff of the Armenian Armed Forces Lt. General Artak Davtyan is in Jordan on a working visit, the Ministry of Defense said in a news release.During the visit Lt. General Davtyan had a meeting with Chairman of the Joint Chiefs of Staff of Jordan Major General Yousef Huneiti.“The interlocutors discussed issues of bilateral interest,” the ministry said.Edited and translated by Stepan Kocharyan"
Defense ministry has new division tasked with researching issues of women’s service in the military,"YEREVAN, OCTOBER 18, ARMENPRESS. Defense Minister Davit Tonoyan has ordered the creation of a new division in the military which will specifically work with matters concerning the service of women in the armed forces.The unit has been formed under the Morale Division of the Armenian Armed Forces and its goal is “to research and analyze the organization and provision of equal opportunities of women’s service in the military and presentation of recommendations for the solution of raised issues”, the defense ministry said in a news release.Edited and translated by Stepan Kocharyan"
"Armenia, Lithuania highly value bilateral and multilateral cooperation in defense field","YEREVAN, OCTOBER 16, ARMENPRESS. Defense Minister Davit Tonoyan on October 15 received Ambassador of Lithuania to Armenia Mrs. Inga Stanytė-Toločkiėnė and Defense Attaché, Colonel Tamošaitis (residence in Tbilisi), the Armenian defense ministry told Armenpress.The Armenian defense minister congratulated the newly-appointed Ambassador and the Defense Attaché, wishing success in their missions.The minister said the Armenian-Lithuanian cooperation, both at the bilateral and multilateral, NATO, EU, formats, has an experience of many years, attaching importance to the regular dialogue of the defense ministers of the two states on cooperation and security matters.The Lithuanian Ambassador thanked for wishes and highly valued the Armenian-Lithuanian cooperation. She conveyed the readiness of the Lithuanian side to support the sustainable development of the cooperation.During the meeting the sides also exchanged views on other issues of mutual interest.Edited and translated by Aneta Harutyunyan"
Azerbaijani forces made over 90 ceasefire violations in Artsakh line of contact within a week,"YEREVAN, OCTOBER 12, ARMENPRESS. During the period from October 6 to 12 the Azerbaijani forces violated the ceasefire regime in the Artsakh-Azerbaijan line of contact more than 90 times by firing nearly 700 shots from various caliber weapons at the Armenian positions, the defense ministry of Artsakh told Armenpress.The Artsakh Defense Army forces maintain the ceasefire regime and continue confidently fulfilling their military tasks.Edited and translated by Aneta Harutyunyan"
Situation in Armenia-Azerbaijan border is stable and under control – Chief of General Staff,"YEREVAN, OCTOBER 8, ARMENPRESS. Chief of the General Staff of the Armenian Armed Forces Artak Davtyan says the situation in the Armenian-Azerbaijani border is stable and under control.“In general, the situation in the border is stable and under control. Tension and incidents have always existed, exist and will continue in the near times. The number of shots and incidents decreased a little. There are still elements of tension following the recent increase in tension registered in Tavush province, but this has always existed. There were certain shots as of 20 minutes before, but they were not targeted and were stopped following our response shot. We predict that there will be no more tension in this direction. A proper response is given on that direction”, Davtyan told reporters during today’s press conference.Edited and translated by Aneta Harutyunyan"
PM to head study of results of military exercises,"YEREVAN, OCTOBER 8, ARMENPRESS. The Ministry of Defense and the General Staff of the Armed Forces plan to analyze the results of the recent strategic military exercises which were held from September 24 to October 5.Chief of the General Staff Artak Davtyan told reporters that the study will be conducted with the leadership of Prime Minister Nikol Pashinyan.“We’ve asked the prime minister to carry out a recap of results with his leadership regarding the level of readiness of the country. An important phase of studying all results and making respective conclusions is starting,” he said.The large scale drills involved mobilization of reservists and LFX drills.The purpose of the Armed Forces Engagement, Countering Adversary Aggression exercises was the practical testing of military engagement and combat utilization plans, training of involved forces and resources, conveying practical experience to governmental and local self-governing bodies, military command circles and mobilization resources in the direction of implementing mobilization objectives, studying and clarifying the possibilities of the involved forces, resources, mobilization bodies and harmonizing the actions of command staffs.Edited and translated by Stepan Kocharyan"
Military equipment being supplemented and upgraded in Armenian Armed Forces – Chief of General Staff,"YEREVAN, OCTOBER 8, ARMENPRESS. Military equipment is being upgraded and supplemented in the Armenian Armed Forces, Chief of the General Staff of the Armed Forces Artak Davtyan said during a press conference.“In terms of the upgrading of the military equipment, we have increased the distance and height of the vulnerability of air defense weapons, as well as upgraded several types of weapons”, he said.The Chief of the General Staff said they always acquire new types of weapons, and upgrade is also expected within the course of time.Edited and translated by Aneta Harutyunyan"
Armenian defense minister hosts US Congress members,"YEREVAN, OCTOBER 8, ARMENPRESS. Defense Minister of Armenia Davit Tonoyan on October 7 hosted US Congresswomen, members of the Congressional Armenian Caucus Jackie Speier and Judy Chu, the ministry told Armenpress.During the meeting the minister highlighted the constant support of the US Congress members aimed at strengthening the Armenian-American relations and introduced the guests on the process and prospects of the bilateral cooperation in the defense field. Minister Tonoyan expressed hope that the efforts of the Congressmen will contribute to further deepening the cooperation on this direction.The meeting participants also discussed other issues of mutual interest.Edited and translated by Aneta Harutyunyan"
Ongoing large-scale strategic drills not related to change of external conjuncture - Pashinyan,"YEREVAN, OCTOBER 3, ARMENPRESS. Armenia announces launch of 40-day military trainings for private, sub-officer and officer squads reservists who are registered in the first rank of the 1st group of the reserve. These trainings will launch from October 20 to November 30.Defense Minister Davit Tonoyan said these trainings are announced aimed at improving the military capacities of the citizens registered in the reserve, for their professional training, etc.A total of 316 citizens will be involved in the trainings.This decision was adopted during today’s Cabinet meeting.Armenian Prime Minister Nikol Pashinyan said these are planned events. “Yes, we have said that the military drills which are being held are of unprecedented scale, but this is not related with the change of the external conjuncture, it is related to the change of a certain behavior. Nothing has changed in the situation we all know”, the PM said.The decision states that given the fact that in recent years the Armenian Armed Forces have been supplemented with new armament and military equipment, there is a need to raise the quality of professional readiness of the reservists.Edited and translated by Aneta Harutyunyan"
Defense minister visits military bases of 1st Military Unit,"YEREVAN, SEPTEMBER 30, ARMENPRESS. Defense Minister of Armenia Davit Tonoyan on September 29 visited the military bases of the 1st Military Unit, the ministry told Armenpress.The minister toured one of the training centers, the camp point of the reservists, who have joined the ranks of the armed forces as part of large-scale strategic exercises and watched the trainings.Commander of the Military Unit, Colonel Jirayr Poghosyan introduced the defense ministry on the process of the trainings and highlighted the harmonized operation of the divisions.Edited and translated by Aneta Harutyunyan"
Armenian military creates Unit 1991 cyber-security subdivision,"YEREVAN, SEPTEMBER 30, ARMENPRESS. The Armenian military will have a new unit tasked to provide members of the Armed Forces the opportunity for continuous education, comprehensive development and gaining of professional skills.Minister of Defense Davit Tonoyan, FAST - Foundation for Armenian Science and Technology – Founding Director Armen Orujyan and High-Tech Cyber-security Center Director Levon Petrosyan signed a Memorandum of Understanding, signaling the creation of the Unit 1991.The division will be tasked to implement scientific-research projects and studies for the solution of daily, mid-term and long-term issues.“We will provide the territory and our colleagues will do the remainder – there will be respective lecturers and mentors,” Tonoyan said.Servicemen of Unit 1991 will acquire fundamental and practical knowledge and skills and after military discharge the servicemen will have the chance to be employed by the Defense Ministry in respective divisions, or find employment in leading high-tech enterprises.Defense Ministry spokesperson Artsrun Hovhannisyan said the signing of the memorandum has signaled a historic and important initiative.“Those conscripted servicemen who will be recruited under a special procedure into service at cyber-security subdivisions of the defense ministry will have the opportunity to acquire very important knowledge for our ministry thanks to this program,” Hovhannisyan said. He said the servicemen will also be able to carry out scientific-research studies and other functions in the cyber-security sector for Armenia’s security. He said the name of the unit is a meaningful and symbolic reference to the year of Armenian independence.FAST will conduct 6-months training of pre-conscription age men in order for them to be more ready to enter service in the Unit 1991.High-Tech Cybersecurity Center Director Levon Petrosyan said the memorandum is the beginning of Armenia’s utilization of information technologies in the defense sector.Edited and translated by Stepan Kocharyan"
Armored units conduct anti-recon concealment scenario drills,"YEREVAN, SEPTEMBER 26, ARMENPRESS. Amid the ongoing strategic military exercises in Armenia, armored vehicles of the military were transported by a railway to the training grounds, the Defense Ministry said.The process was completed safely and as scheduled due to “harmonious partnership of military communication division officers and officials of military echelons”.The military police are patrolling as part of the drills.Inspection, mobile and regulatory checkpoints have been set up at all garrisons to ensure the safe movement of vehicles.As part of the drills the 3rd corps conducted an armament and military hardware concealment and distribution scenario training to avoid enemy recon and disorient the adversary. The simulated firing positions have been re-equipped with backup resources to reduce vulnerability by the adversary.Edited and translated by Stepan Kocharyan"
"Radioactive, Chemical, Biological Protection Troops involved in military exercises","YEREVAN, SEPTEMBER 26, ARMENPRESS. The Radioactive, Chemical, Biological Protection Troops of the Armenian Armed Forces have conducted a training in discovering, containing and liquidating a chemical attack site amid the ongoing military exercises, the Defense Ministry said.Edited and translated by Stepan Kocharyan"
Armenian Armed Forces’ peacekeeping brigade participates in ongoing strategic drills,"YEREVAN, SEPTEMBER 25, ARMENPRESS. The peacekeeping brigade of the Armenian Armed Forces has been brought to the complete combat readiness level on the sidelines of the ongoing strategic military drills, the defense ministry told Armenpress.The strategic drills launched yesterday across Armenia.Edited and translated by Aneta Harutyunyan"
NSS elite special operations force conducts hostage situation anti-terror drills,"YEREVAN, SEPTEMBER 25, ARMENPRESS. The National Security Service’s elite SWAT team – the A unit – conducted a training exercise as part of the CIS joint Ararat Anti-Terror 2019 anti-terrorism drills on September 25. The scenario of the exercise was a hostage situation and terrorist elimination at the Gazprom Armenia headquarters.A team agents rappelled from the building’s room and breached into the rooms from the windows. K9 units and equipment were used during the drills.Acting Director of the National Security Service Eduard Martirosyan told reporters that all divisions of the force must always be ready for such situations.“We don’t have threats at the moment, but all units must be ready for similar situations,” he said.The Ararat Anti-Terror 2019 drills are a 7-day exercises which are held in three phases.Edited and translated by Stepan Kocharyan"
Mobilization drills completed in Gegharkunik amid military exercises,"YEREVAN, SEPTEMBER 25, ARMENPRESS. As part of the ongoing strategic military exercises, the Gegharkunik provincial military commissariat and divisions have completely implemented the troops supplementation process in the mobilization drills on September 24, the Defense Ministry said in a news release.Reservists reported for duty at the bases and were brought under arms.The equipment was moved to the destinations and passed an inspection.Edited and translated by Stepan Kocharyan"
Simulated martial law declared as part of ongoing military exercises,"YEREVAN, SEPTEMBER 24, ARMENPRESS. A simulated martial law has been declared as part of the ongoing military exercises in Armenia, Colonel Samvel Asatryan – the head of the Information Department of the Armenian Armed Forces General Staff’s Administrative Apparatus told a news conference on September 24.“In accordance to the 2019 readiness plan of the Armenian Armed Forces the Armed Forces Engagement, Countering Adversary Aggression large-scale strategic military exercise has commenced on September 24 in Armenia, including state and local-self governing bodies. At 06:00 the government’s decision on declaring a simulated martial law has been received. The command bodies and troops of armed forces have been ordered to complete combat readiness level,” Asatryan said.The purpose of the exercises is the practical testing of military engagement and combat utilization plans, training of involved forces and resources, conveying practical experience to governmental and local self-governing bodies, military command circles and mobilization resources in the direction of implementing mobilization objectives, studying and clarifying the possibilities of the involved forces, resources, mobilization bodies and harmonizing the actions of command staffs.The drills will involve live fire exercises in different attack scenarios.The drills will take place until October 5.Edited and translated by Stepan Kocharyan"
Artsakh launches strategic military exercises,"YEREVAN, SEPTEMBER 24, ARMENPRESS. The Armed Forces Engagement, Countering Adversary Aggression strategic military exercises have commenced in Artsakh’s since early morning Tuesday.At this stage of the drills all Defense Army units have been brought to the highest combat readiness level and the exercises have kicked off, the Ministry of Defense of Artsakh said.Edited and translated by Stepan Kocharyan"
Soldier wounded in Artsakh in unknown circumstances,"YEREVAN, SEPTEMBER 23, ARMENPRESS. Soldier has been wounded in Artsakh in unknown circumstances, Armenian defense ministry spokesman Artsrun Hovhannisyan said on Facebook.“Soldier Hayk Khachatryan, who was wounded in unknown circumstances, is in serious condition. In case of possibility we will transport him to Yerevan”, Hovhannisyan said.Edited and translated by Aneta Harutyunyan"
Azerbaijan launches sabotage infiltration attempt at Artsakh line of contact,"YEREVAN, SEPTEMBER 23, ARMENPRESS. On September 22, at around 16:15, the Azerbaijani forces launched a sabotage infiltration attempt in the direction of one of the military units located in the south-eastern section of the Artsakh-Azerbaijan line of contact, the Defense Ministry of Artsakh told Armenpress.Thanks to the literate actions of the Artsakh Defense Army units, the adversary was pushed back to its exit positions leaving one dead at the neutral zone.The Defense Army of Artsakh didn’t suffer any casualties.Some moments of the sabotage infiltration attempt have been captured by the Defense Army’s cameras.Edited and translated by Aneta Harutyunyan"
Lebanese Minister of National Defense salutes Armenian humanitarian mission in Syria,"YEREVAN, SEPTEMBER 20, ARMENPRESS. The delegation led by Minister of National Defense of Lebanon Elias Bou Saab arrived in Yerevan on September 19 on an official visit.Following the official welcoming ceremony, the Lebanese and Armenian Defense Ministers met on September 20, which continued in an expanded format with the participation of the delegations.As ARMENPRESS was informed from the press service of the Defense Ministry of Armenia, greeting Elias Bou Saab, Armenian Defense Minister Davit Tonoyan noted that there high level multidimensional cooperation between Armenia and Lebanon and the friendly relations between the two peoples oblige the governments to develop cooperation also in the sphere of defense. Defense Minister Tonoyan highlighted the ratification of the agreement on defense cooperation signed in Beirut in November, 2018, which will give new opportunities for the partnership in the sphere of defense.Elias Bou Saab thanked for the warm reception and highlighted the development of multidimensional cooperation.Issues related to international and regional security were discussed during the meeting. The sides highlighted the exchange of intelligence information.The Armenian Defense Minister presented the goals of the Armenian humanitarian mission in Syria. The Minister of National Defense of Lebanon saluted Armenia's humanitarian mission in Syria, noting that such missions are aimed at the establishment of peace.The Lebanese Defense Minister also thanked Armenia for the participation in the UNIFIL mission in southern Lebanon.During the visit the Lebanese Defense Minister is scheduled to meet with President Armen Sarkissian, Prime MInister NIkol Pashinyan and Foreign Minister Zohrab Mnatsakanyan. Elias Bou Saab will also visit the Armenian Genocide memorial complex and Mother See of Holy Etchamiadzin.The Defense Minister of Lebanon and his wife will participate on September 21 in the festive events dedicated to the 28th anniversary of the independence of Armenia in Gyumri.Edited and translated by Tigran Sirekanyan"
Strategic military drills in unprecedented scale to be held in Armenia,"YEREVAN, SEPTEMBER 19, ARMENPRESS. The Armenian government today adopted a decision on holding military mobilization readiness trainings from September 24 to October 5, 2019.During today’s session Defense Minister Davit Tonoyan said the goal of these strategic military exercises is to determine the preparedness and capacities of state and regional administration bodies, local self-government bodies and organizations.These trainings are of strategic military drills nature.The trainings will enable to assess the military mobilization opportunities of the military security system, reveal problematic issues of military mobilization readiness, as well as to develop mechanisms to raise the efficiency of military mobilization readiness and mobilization.The minister said military drills with such a scale have not been held in Armenia. “But the most important is that these drills are within the domain of our international duties, in terms of numbers and measures to be used”, he said.In his turn Prime Minister Nikol Pashinyan said a large-scale event is being prepared. “During those days our citizens will see and notice that processes are taking place, and I hope that those people who have a duty by law should be involved as well. Certain recruitment processes will take place. I call on our citizens to actively take part in this process. This aims at raising the combat readiness level of our Armed Forces. This is an unprecedented event”, the PM said, adding that there should a proper attitude and reaction to these events.Edited and translated by Aneta Harutyunyan"
Defense Minister denies resignation rumors,"YEREVAN, SEPTEMBER 18, ARMENPRESS. Minister of Defense Davit Tonoyan is denying media rumors on his upcoming resignation.“The news aren’t justified”, he told reporters in parliament when asked to comment.Speaking about National Security Service Director Artur Vanetsyan’s resignation statement, Tonoyan said he cannot give any comments. “That’s not my authority, Vanetsyan himself will do it when time comes,” he said.Asked whether or not Police Chief Valery Osipyan’s resignation is expected, Tonoyan said: “I don’t know. And I am denying that any discussion has taken place on this topic at the security council session”.Speaking about his relations with PM Nikol Pashinyan, Tonoyan said there can’t be any disagreements. “A very synchronized work…..is being done,” he said.Edited and translated by Stepan Kocharyan"
"Military Insurance Fund collected 18 billion drams, paid 1.3 billion drams in compensations","YEREVAN, SEPTEMBER 13, ARMENPRESS. Since January 1, 2017 the Military Insurance Fund of Armenia has provided compensations to the families of more than 370 soldiers who were killed or sustained disabilities during the military service, Director of the Military Insurance Fund Varuzhan Avetikyan told a press conference in Armenpress.“During over two years of our operation, a total of 18 billion drams have been collected and more than 1.3 billion drams have been paid in compensations. We receive the main funds by each citizen working in Armenia and Artsakh from the monthly paid 1000 drams”, he said.Avetikyan said the Fund has two main groups for allocations – families of fallen soldiers and soldier who became disabled during the service.“When the law was adopted, it was stated that the Fund should provide compensation for the cases which have taken place after January 1, 2017. But over the course of the time we saw that we can compensate for the cases registered in 2015 and 2016 with these collected funds. The Board of Trustees of the Fund made such a decision. This year the Board of Trustees made one more important decision, to make compensations for the cases that have taken place during 2008-2014. The final goal is not to have any disabled soldier who hasn’t received a compensation”, the Director of the Fund said.Edited and translated by Aneta Harutyunyan"
"Defense ministry to create new agency to deal with various issues of veterans, former servicemen","YEREVAN, SEPTEMBER 13, ARMENPRESS. Armenia’s defense ministry plans to establish a new agency in the future which will deal with social, financial, healthcare and other issues of veterans, war volunteers, former servicemen and soldiers of army reserve, Defense ministry spokesman Artsrun Hovhannisyan told reporters in Armenpress.“This new agency will be called “General Department for healthcare, social protection issues of soldiers and veterans”. The ministry will gather its whole potential in this department and will try to help the former servicemen, war volunteers and their families”, he said.Edited and translated by Aneta Harutyunyan"
No increase in ceasefire violations on border is noticed in recent period – defense ministry spox,"YEREVAN, SEPTEMBER 13, ARMENPRESS. No increase in ceasefire violations or tension is noticed on the Armenian-Azerbaijani border in the recent period, Armenian defense ministry spokesperson Artsrun Hovhannisyan told a press conference in Armenpress.“Ceasefire violations take place almost every day, but there is just the number of cases, and the situation is being clarified depending on whether these cases are more or less. In the recent period there is no situation which we can call concerning or growing”, he said.The spokesman said up to 10-20 cases daily, when shots are fired from small caliber weapons, unfortunately, have become a daily phenomenon.Edited and translated by Aneta Harutyunyan"
Contract soldier commits suicide in Armenia’s Tavush province,"YEREVAN, SEPTEMBER 13, ARMENPRESS. A contract soldier has committed a suicide in Tavush province, Armenian defense ministry spokesperson Artsrun Hovhannisyan told a press conference in Armenpress.According to some media reports, the soldier was found hanged.“The soldier who committed the suicide was Armen Ter-Kararyan, born in 1998. The incident occurred in their house”, Hovhannisyan said, without informing any other details.Investigation continues.The incident took place on September 12 in one of the villages of Tavush province.Edited and translated by Aneta Harutyunyan"
Azerbaijan opens cross-border gunfire at Armenia and Artsakh in 43 ceasefire breaches in two days,"YEREVAN, SEPTEMBER 11, ARMENPRESS. The Azerbaijani military violated the ceasefire regime 43 times at the Armenia border and Artsakh Line of Contact in the past two days, head of communications at the Armenian military’s General Staff Administrative Apparatus Samvel Asatryan told ARMENPRESS.He said Azerbaijani armed forces opened cross-border gunfire from small arms, including Istiglal, PK and SVD weapons, at Armenian military positions near Aygepar, Barekamavan (Tavush), Yeraskhavan, Paruyr Sevak, Zangakatun (Ararat), Areni, Chiva (Vayots Dzor), and Vahan (Gegharkunik). Azerbaijan breached the ceasefire at the Armenia border 23 times September 9-11.At the Artsakh Line of Contact, the Azerbaijani military breached the ceasefire 20 times and opened gunfire at military positions of the Martakert, Martuni, Askeran and Hadrut regions.“The Armenian Armed Forces are confidently controlling the border situation at the entire length of the border, are strictly adhering to the ceasefire regime and are taking actions adequate to the situation only in case of the adversary’s targeted violations”.Asatryan did not report injuries.Edited and translated by Stepan Kocharyan"
Minister Tonoyan receives US delegation led by Deputy Assistant Secretary of Defense,"YEREVAN, SEPTEMBER 11, ARMENPRESS. Armenian defense minister Davit Tonoyan on September 11 received the delegation led by US Deputy Assistant Secretary of Defense for Russia, Ukraine, Eurasia Laura Cooper, the ministry told Armenpress.The meeting was also attended by US Ambassador to Armenia Lynne Tracy.During the meeting the Armenian minister mentioned the 9/11 tragedy, stating that all efforts should be made to prevent such incidents in the future.Minister Tonoyan introduced the process of the Armenian-American partnership in the field of defense, noting that it covers many areas, as well as expressed hope that the development of cooperation will continue.In her turn Laura Cooper said she is happy to be in Armenia to examine the areas that will enable to further strengthen the bilateral cooperation on peace and security-related matters. She said Armenia is a key partner for the United States, and the US highly values the constant partnership within the frames of NATO’s Partnership for Peace program and Resolute Support mission. Mrs. Cooper expressed the readiness of the American side to continue the joint work on numerous common interests, including the guarantee of regional and global security.Other issues of mutual interest were also discussed during the meeting.Edited and translated by Aneta Harutyunyan"
Parliament adopts amendments to Armenia-Russia military courier service agreement,"YEREVAN, SEPTEMBER 10, ARMENPRESS. The Armenian parliament has adopted at first hearing the bill on ratifying amendments to the Armenia-Russia military courier service communication cooperation agreement.The bill was presented by the government.Deputy Minister of Defense of Armenia Gabriel Balayan told lawmakers the bill is related to Armenia’s accession to the EEU and will regulate a number of issues.In particular, the amendments will clarify the communication and immunity regulations of the cargo between the courier services.Edited and translated by Stepan Kocharyan"
Azerbaijan again violates ceasefire regime in the directions of both Artsakh and Armenia,"YEREVAN, SEPTEMBER 9, ARMENPRESS. The Azerbaijani Armed Forces violated the ceasefire regime 47 times during the period of September 7-9 in the directions of both Armenia and Artsakh. ARMENPRESS reports the Azerbaijani troops fired in the directions of military positions located near villages in Tavush, Ararat, Vayots Dzor provinces of Armenia from different caliber firearm weapons, violating the ceasefire regime 17 times.The Azerbaijani troops also fired in the directions of Artsakh's military positions, violating the ceasefire regime 30 times.Edited and translated by Tigran Sirekanyan"
Armenian military receives new Russian URAL vehicles,"YEREVAN, SEPTEMBER 6, ARMENPRESS. The Armenian military has received new URAL vehicles from Russia, Defense Ministry spokesperson Artsrun Hovhannisyan told ARMENPRESS.Hovhannisyan also posted photos of the trucks on Facebook.He did not specify how many units were received.Video PlayerEdited and translated by Stepan Kocharyan"
One more military base switches to new nutrition system,"YEREVAN, SEPTEBER 6, ARMENPRESS. Another military base of the Armenian Armed Forces has introduced the new nutrition system, Prime Minister Nikol Pashinyan said on Facebook.“The number of military bases having shifted to the new food organizing system reached 16,” he said.Edited and translated by Stepan Kocharyan"
Government to procure defense products from local manufacturers as priority,"YEREVAN, AUGUST 29, ARMENPRESS. After meeting representatives of the Armenian defense industry, PM Nikol Pashinyan briefed Cabinet members today on the agreements that have been reached.“We’ve agreed that we will very quickly inventorize those products of the military-industry sector which are being manufactured in Armenia. We will develop an approximate 5-year plan of the military’s demand, and we will work with the sector in two directions: the government will set an objective that procurements be made from local manufacturers if the latter will display concrete actions aimed at increasing their productivity and lowering costs and a roadmap,” the PM said.PM Pashinyan tasked the Cabinet to regularly brief him on the matter.Edited and translated by Stepan Kocharyan"
"Government allocates 2,1 billion drams to Defense Ministry for improving combat shift conditions","YEREVAN, AUGUST 22, ARMENPRESS. The Government of Armenia has allocated 2,1 billion drams to the Ministry of Defense to improve conditions of combat service shifts.The decision was earlier announced by PM Nikol Pashinyan on August 19th."
PM presents wage raise of military personnel,"YEREVAN, AUGUST 20, ARMENPRESS. Prime Minister Nikol Pashinyan has presented the increased wages of military personnel that came into effect from June 1.He said that the monthly salaries of the military personnel have been raised the following way:“Regiment commander – 23,000 drams, 7%; Regiment deputy commander – 20,000 drams, 7%; Battallion commander – 85,000 drams, 12%; Company commander – 96,000 drams, 18%; Senior Non-Commissioner Officer – 38,000 drams, 18%; Private [volunteer] (contract) – 30,000 drams, 18%. The abovementioned figures are the part of the salary that was increased. These figures give an overall understanding, because depending on the nature of the service, the rank these figures can increase or decrease a little,” Pashinyan wrote on Facebook, adding that the mentioned only a part of the ranks.“In 4 military bases the wage increase hasn’t taken place yet due to the status of these military bases. This issue will be very rapidly solved and the salary raise will come into effect for the servicemen of these military bases dated June 1, meaning they won’t lose money,” the PM said.Edited and translated by Stepan Kocharyan"
"Chinari can no longer get under cross-border shooting, says Speaker Ararat Mirzoyan","YEREVAN, AUGUST 19, ARMENPRESS. The border village of Chinari in Armenia’s Tavush Province can no longer get under cross-border shooting by Azerbaijani forces, Speaker of Parliament Ararat Mirzoyan said on Facebook.“Chinari can no longer get shelled. The security of the gas pipeline entering Armenia has also been ensured. Glory to the Armenian soldiers. Glory to the Armenian Army,” Mirzoyan said.Earlier the Armenian military reported that they’ve been able to advance in the northern parts of Tavush.Edited and translated by Stepan Kocharyan"
